#  /home/moore/pycode/Analysis/lammpsgr.py 0.5m16kw.6.lammpstrj 0.5mgr6all.dat -max 30 -nbins 600
#  nbins=600, min=0, max=30.0, dr=0.05008347245409015
#  Types:4 1:16000 2:32000 3:144 4:144
#  r 1-1 1-2 1-3 1-4 2-2 2-3 2-4 3-3 3-4 4-4 
#  <vol> 518122.324640932 sqrt(<(x-<x>)^2>) = 2292.667503389319 nconfigs: 200
10.5676 0.994746 0.995151 0.997185 0.994304 0.995865 0.997187 0.996961 0.908346 1.08217 0.997109
10.6177 0.994593 0.995292 1.00092 0.997473 0.995793 0.995573 0.996811 0.973383 1.05005 0.969962
10.6678 0.995318 0.995477 0.998893 1.00121 0.995814 0.99753 0.997254 0.990311 1.01882 0.901803
10.7179 0.995109 0.995232 0.990973 0.993103 0.995798 0.998746 0.99457 0.939494 1.05055 0.939412
10.7679 0.994304 0.995193 0.994948 0.992453 0.995815 0.996177 0.996002 0.96893 1.03846 0.943276
10.818 0.994439 0.995129 0.998933 0.994734 0.996053 0.997805 0.994564 0.945109 1.00977 0.91854
10.8681 0.994101 0.995342 0.996513 0.993607 0.995396 0.997976 0.989457 0.900623 1.05136 0.899525
10.9182 0.994958 0.995349 0.995954 0.995577 0.995622 0.994503 0.990188 0.951834 1.02535 0.886235
10.9683 0.994785 0.995172 0.997389 0.995996 0.995403 0.996598 0.991479 1.01565 1.06173 0.908499
11.0184 0.994398 0.994836 0.998386 0.990244 0.994716 0.995068 0.991189 0.952235 1.10547 0.982962
11.0684 0.994723 0.994977 0.999031 0.987591 0.995171 0.994498 0.989135 0.903748 1.07725 0.996811
11.1185 0.995405 0.994934 0.994874 0.988414 0.995233 0.997372 0.989475 0.885975 1.04959 0.963855
11.1686 0.995762 0.995465 0.996808 0.990629 0.994851 0.993696 0.990771 0.980542 1.04743 0.953474
11.2187 0.995546 0.995352 0.994652 0.989249 0.995107 0.997066 0.995594 0.95097 1.0821 0.904589
11.2688 0.995324 0.995226 0.995536 0.994415 0.995008 0.99492 0.993935 0.930483 1.06662 0.926618
11.3189 0.995382 0.994951 0.992216 1.00155 0.995124 0.995583 0.991996 0.970934 1.12166 0.972006
11.3689 0.994613 0.995291 0.991694 0.997323 0.994909 0.993019 0.996263 0.959223 1.05403 1.04623
11.419 0.994958 0.995108 0.989729 0.993873 0.995475 0.993713 0.993806 0.976938 1.06285 1.03102
11.4691 0.994935 0.99552 0.990964 1.00406 0.995439 0.996753 0.994766 0.959973 1.05842 0.994259
11.5192 0.994958 0.994682 0.990357 1.00244 0.995096 0.997981 0.994239 1.03629 1.04793 0.959948
11.5693 0.994891 0.995039 0.998628 0.994878 0.995171 0.995779 0.993747 0.88389 1.05459 0.937861
11.6194 0.995621 0.995505 0.998884 0.997421 0.995539 0.997332 0.990774 0.897649 1.0392 0.950418
11.6694 0.996062 0.995337 0.999591 0.992693 0.99529 0.997429 0.995682 0.948398 1.07811 0.957408
11.7195 0.996713 0.995486 0.999517 0.993357 0.995428 0.995628 0.995327 0.943957 1.03113 0.994944
11.7696 0.996214 0.995431 0.996368 0.995116 0.995156 0.993532 0.992293 0.981369 1.01351 0.918483
11.8197 0.995878 0.995886 0.993433 0.998564 0.994999 0.995265 0.995554 0.982388 1.04187 0.983357
11.8698 0.995869 0.995991 0.990796 0.99916 0.995426 0.994622 0.998444 0.924302 1.04162 0.917741
11.9199 0.995832 0.995946 0.993733 0.995018 0.995643 0.998466 0.997419 0.974243 1.02548 0.963015
11.9699 0.995799 0.996091 0.996497 0.994845 0.995692 0.997444 0.995584 0.910048 1.09123 0.945219
12.02 0.995645 0.996084 0.992053 0.997489 0.995796 0.996675 1.00095 0.914505 1.09842 1.00032
12.0701 0.996525 0.996197 0.993358 1.00034 0.995824 0.996292 0.998334 1.00661 1.04518 1.0396
12.1202 0.996391 0.996029 0.991401 0.998566 0.995805 0.994302 0.994777 0.986186 1.02977 1.03082
12.1703 0.995944 0.99586 0.994126 0.999205 0.995598 0.993228 0.996371 1.00213 1.04566 0.935444
12.2204 0.996524 0.995671 0.991511 0.996239 0.995556 0.997587 0.995544 1.00588 1.04207 0.989202
12.2705 0.995578 0.996095 0.992245 0.997335 0.995704 0.994906 0.994213 1.00242 1.08304 0.969139
12.3205 0.995782 0.996182 0.998834 0.998097 0.99603 0.995739 0.998412 1.01986 1.03742 0.96382
12.3706 0.995184 0.995901 0.997495 0.998488 0.995902 0.993311 0.99563 0.984832 1.01003 1.01154
12.4207 0.995863 0.995981 0.994405 0.998533 0.99604 0.99711 0.997693 1.01421 0.987098 1.02204
12.4708 0.996168 0.996313 0.994149 0.998605 0.996037 0.992341 0.995542 0.958257 1.0263 1.01832
12.5209 0.995453 0.996107 0.999981 0.996609 0.995979 0.992492 0.997959 0.905325 1.0213 0.93071
12.571 0.996453 0.996068 0.994105 0.999727 0.996108 0.996978 0.996091 0.901846 1.01887 0.963887
12.621 0.996986 0.996155 0.994445 0.99647 0.996465 0.998039 0.995959 0.957017 1.03402 1.00403
12.6711 0.996519 0.996294 0.99227 0.997249 0.996922 0.996199 0.994814 0.943147 0.978926 1.0105
12.7212 0.996309 0.996344 0.998397 0.994218 0.996505 0.996696 0.998357 1.00896 1.06935 0.98953
12.7713 0.996379 0.996028 0.996151 0.99721 0.996451 0.99499 0.998749 1.00679 1.04594 0.982095
12.8214 0.996418 0.995748 0.995872 1.00043 0.996287 0.99469 0.998936 0.96098 1.04094 0.943839
12.8715 0.995638 0.996163 0.992903 1.00167 0.996298 0.997547 1.00014 0.937647 1.03604 0.890339
12.9215 0.996073 0.996293 0.989393 0.999765 0.996696 0.998223 0.996037 0.968508 1.03185 0.967008
12.9716 0.996027 0.996349 0.993968 0.995267 0.996477 0.997319 0.993213 0.96433 1.02329 1.01613
13.0217 0.996503 0.995727 1.00029 0.991508 0.996397 0.995731 0.998096 1.03074 1.01844 0.951265
